,Names,Ages,Positions,Clubs,Nationalities,"Values, €"
2019,Ui-jo Hwang,30,CF,FC Seoul,"Korea, South",5.00m
2020,Unai García,31,CB,CA Osasuna,Spain,2.50m
2021,Unai López,27,CM,Rayo Vallecano,Spain,3.50m
2022,Unai Núñez,26,CB,Celta de Vigo,Spain,6.00m
2023,Unai Simón,25,GK,Athletic Bilbao,Spain,25.00m
2024,Unai Vencedor,22,CM,Athletic Bilbao,Spain,14.00m
2025,Uroš Račić,24,DM,SC Braga,Serbia,6.50m
2026,Valentin Antov,22,CB,AC Monza,Bulgaria,800k
2027,Valentin Gendrey,22,RB,US Lecce,France,2.60m
2028,Valentin Rongier,28,CM,Olympique Marseille,France,14.00m
2029,Valentino Lazaro,26,RB,Torino FC,Austria,6.50m
2030,Valère Germain,32,CF,Montpellier HSC,France,2.00m
2031,Valerio Verre,29,AM,Palermo FC,Italy,1.80m
2032,Valery Fernández,23,RW,Girona FC,Spain,1.50m
2033,Vanderson,21,RB,AS Monaco,Brazil,18.00m
2034,Vanja Milinković-Savić,26,GK,Torino FC,Serbia,3.50m
2035,Vasilios Lampropoulos,32,CB,VfL Bochum,Greece,500k
2036,Vedat Muriqi,28,CF,RCD Mallorca,Kosovo,10.00m
2037,Veljko Birmancevic,24,LW,FC Toulouse,Serbia,3.50m
2038,Vicente Guaita,36,GK,Crystal Palace,Spain,1.50m
2039,Víctor Chust,22,CB,Cádiz CF,Spain,3.00m
2040,Victor Lindelöf,28,CB,Manchester United,Sweden,15.00m
2041,Victor Osimhen,24,CF,SSC Napoli,Nigeria,70.00m
2042,Víctor Ruiz,34,CB,Real Betis Balompié,Spain,1.50m
2043,Viktor Kovalenko,27,AM,Spezia Calcio,Ukraine,2.00m
2044,Vincent Aboubakar,31,CF,Besiktas JK,Cameroon,5.00m
2045,Vincent Le Goff,33,LB,FC Lorient,France,1.20m
2046,Vincent Marchetti,25,DM,AC Ajaccio,France,3.00m
2047,Vincenzo Grifo,29,LW,SC Freiburg,Italy,12.00m
2048,Vinicius Junior,22,LW,Real Madrid,Brazil,120.00m
2049,Vinicius Souza,23,DM,RCD Espanyol Barcelona,Brazil,7.00m
2050,Virgil van Dijk,31,CB,Liverpool FC,Netherlands,50.00m
2051,Vitaliy Mykolenko,23,LB,Everton FC,Ukraine,22.00m
2052,Vitaly Janelt,24,DM,Brentford FC,Germany,16.00m
2053,Vitinha,23,CM,Paris Saint-Germain,Portugal,45.00m
2054,Vladimir Coufal,30,RB,West Ham United,Czech Republic,9.00m
2055,Wahbi Khazri,32,CF,Montpellier HSC,Tunisia,3.00m
2056,Walace,27,DM,Udinese Calcio,Brazil,7.00m
2057,Waldemar Anton,26,CB,VfB Stuttgart,Germany,4.50m
2058,Walid Cheddira,25,CF,SSC Bari,Morocco,6.00m
2059,Waniss Taïbi,20,AM,Angers SCO,France,500k
2060,Warren Bondo,19,CM,Reggina 1914,France,700k
2061,Warren Zaïre-Emery,16,CM,Paris Saint-Germain,France,6.00m
2062,Wataru Endo,30,DM,VfB Stuttgart,Japan,6.50m
2063,Wayne Hennessey,36,GK,Nottingham Forest,Wales,500k
2064,Wendell,29,LB,FC Porto,Brazil,5.00m
2065,Wesley Saïd,27,CF,RC Lens,France,2.50m
2066,Weston McKennie,24,CM,Leeds United,United States,21.00m
2067,Wilfried Gnonto,19,LW,Leeds United,Italy,10.00m
2068,Wilfried Kanga,25,CF,Hertha BSC,Cote d'Ivoire,4.00m
2069,Wilfried Zaha,30,LW,Crystal Palace,Cote d'Ivoire,32.00m
2070,Will Hughes,27,CM,Crystal Palace,England,5.00m
2071,Willi Orbán,30,CB,RB Leipzig,Hungary,10.00m
2072,William Carvalho,30,DM,Real Betis Balompié,Portugal,16.00m
2073,William Pacho,21,CB,Royal Antwerp FC,Ecuador,3.50m
2074,William Saliba,21,CB,Arsenal FC,France,50.00m
2075,Willian,34,LW,Fulham FC,Brazil,3.00m
2076,Willian José,31,CF,Real Betis Balompié,Brazil,9.00m
2077,Wilson Odobert,18,RW,ESTAC Troyes,France,5.00m
2078,Wissam Ben Yedder,32,CF,AS Monaco,France,20.00m
2079,Wladimiro Falcone,27,GK,US Lecce,Italy,3.50m
2080,Wojciech Szczesny,32,GK,Juventus FC,Poland,13.00m
2081,Woo-yeong Jeong,23,SS,SC Freiburg,"Korea, South",5.50m
2082,Wout Faes,24,CB,Leicester City,Belgium,20.00m
2083,Xaver Schlager,25,CM,RB Leipzig,Austria,22.00m
2084,Xavier Chavalerin,31,CM,ESTAC Troyes,France,1.80m
2085,Xeka,28,CM,Stade Rennais FC,Portugal,9.00m
2086,Xherdan Shaqiri,31,RW,Chicago Fire FC,Switzerland,4.00m
2087,Yacine Adli,22,AM,AC Milan,France,9.00m
2088,Yahia Fofana,22,GK,Angers SCO,France,2.50m
2089,Yan Couto,20,RB,Girona FC,Brazil,6.00m
2090,Yan Valery,24,RB,Angers SCO,Tunisia,2.50m
2091,Yangel Herrera,25,CM,Girona FC,Venezuela,9.00m
2092,Yanis Begraoui,21,CF,Pau FC,France,500k
2093,Yanis Cimignani,21,LM,AC Ajaccio,France,1.80m
2094,Yanis Massolin,20,CM,Clermont Foot 63,France,100k
2095,Yann Karamoh,24,LW,Torino FC,Cote d'Ivoire,3.00m
2096,Yann Sommer,34,GK,Bayern Munich,Switzerland,5.00m
2097,Yannick Carrasco,29,LW,Atlético de Madrid,Belgium,30.00m
2098,Yannick Gerhardt,28,CM,VfL Wolfsburg,Germany,6.00m
2099,Yannik Keitel,23,DM,SC Freiburg,Germany,4.00m
2100,Yasser Al-Shahrani,30,LB,Al-Hilal Saudi FC,Saudi Arabia,1.50m
2101,Yasser Larouci,22,LB,ESTAC Troyes,France,3.00m
2102,Yassine Bounou,31,GK,Sevilla FC,Morocco,15.00m
2103,Yayah Kallon,21,RW,Hellas Verona,Sierra Leone,1.50m
2104,Yehvann Diouf,23,GK,Stade Reims,France,1.00m
2105,Yeltsin Tejeda,30,DM,CS Herediano,Costa Rica,275k
2106,Yeray Álvarez,28,CB,Athletic Bilbao,Spain,15.00m
2107,Yéremy Pino,20,RW,Villarreal CF,Spain,38.00m
2108,Yoane Wissa,26,LW,Brentford FC,DR Congo,15.00m
2109,Yoann Cathline,20,LW,FC Lorient,France,2.50m
2110,Yoann Salmier,30,CB,ESTAC Troyes,French Guiana,2.00m
2111,Yoann Touzghar,36,CF,AC Ajaccio,Tunisia,500k
2112,Yohann Magnin,25,DM,Clermont Foot 63,France,2.00m
2113,Young-gwon Kim,32,CB,Ulsan Hyundai,"Korea, South",600k
2114,Youri Tielemans,25,CM,Leicester City,Belgium,40.00m
2115,Youssef En-Nesyri,25,CF,Sevilla FC,Morocco,15.00m
2116,Youssef Maleh,24,CM,US Lecce,Morocco,4.50m
2117,Youssouf Fofana,24,CM,AS Monaco,France,25.00m
2118,Youssouf Koné,27,LB,AC Ajaccio,Mali,1.80m
2119,Youssouf M'Changama,32,AM,AJ Auxerre,Comoros,1.00m
2120,Youssouf Sabaly,29,RB,Real Betis Balompié,Senegal,4.00m
2121,Youssoufa Moukoko,18,CF,Borussia Dortmund,Germany,30.00m
2122,Yunis Abdelhamid,35,CB,Stade Reims,Morocco,800k
2123,Yunus Musah,20,CM,Valencia CF,United States,25.00m
2124,Yuri Berchiche,33,LB,Athletic Bilbao,Spain,2.00m
2125,Yussuf Poulsen,28,CF,RB Leipzig,Denmark,10.00m
2126,Yuto Nagatomo,36,LB,FC Tokyo,Japan,400k
2127,Yvandro Borges Sanches,18,LW,Borussia Mönchengladbach,Luxembourg,1.50m
2128,Yves Bissouma,26,CM,Tottenham Hotspur,Mali,32.00m
2129,Yvon Mvogo,28,GK,FC Lorient,Switzerland,3.50m
2130,Zaidu,25,LB,FC Porto,Nigeria,10.00m
2131,Zakaria Aboukhlal,23,RW,FC Toulouse,Morocco,3.50m
2132,Zanka,32,CB,Brentford FC,Denmark,1.50m
2133,Zeki Celik,26,RB,AS Roma,Turkey,15.00m
2134,Zinedine Zidane,50,AM,Клуба нет,France,-
2135,Zouhair Feddal,33,CB,Alanyaspor,Morocco,1.80m
